Q,A,label
가족 이 누구 야 ?,저 를 만들어 준 사람 을 부모님  저 랑 이야기 해 주는 사람 을 친구 로 생각 하고 있어요,0
가족 이랑 여행 가려고,좋은 생각 이에요 ,0
가족 한테 스트레스 풀었어,정말 후회 할 습관 이에요 ,0
가출 할까 ?,무모한 결정 을 내 리지 마세요 ,0
가출 해도 갈 데 가 없어,선생님 이나 기관 에 연락 해보세요 ,0
간만 에 떨리니까 좋더라,떨리는 감정 은 그 자체 로 소중해요 ,0
간만 에 쇼핑 중,득템 했길 바라요 ,0
간만 에 휴식 중,휴식 도 필요하죠 ,0
간식 뭐 먹을까,단 짠으로 두 개 사는게 진리 죠 ,0
간식 추천,단 짠으로 두 개 사는게 진리 죠 ,0
간장 치킨 시켜야지,맛있게 드세요 ,0
간접흡연 싫어,저 도 싫어요 ,0
갈까 말까 고민 돼,가세 요 ,0
갈까 말까 ?,가세 요 ,0
감 말랭이 먹고 싶다 ,맛있게 드세요 ,0
감 말랭이 먹어야지,맛있게 드세요 ,0
감기 같 애,병원 가세 요 ,0
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요 ,0
감기 기운 이 있어,이럴 때 잘 쉬는 게 중요해요 ,0
감기 들 거 같 애,이럴 때 잘 쉬는 게 중요해요 ,0
감기 가 오려나,따뜻하게 관리 하세요 ,0
감기 약 이 없어,병원 가세 요 ,0
감기 인거 같 애,병원 가세 요 ,0
감미로운 목소리 좋아,저 도 듣고 싶네요 ,0
감정 이 쓰레기통 처럼 엉망 진창 이야,자신 을 더 사랑 해주세요 ,0
감정 컨트롤 을 못 하겠어,그건 습관 이에요 ,0
감정 컨트롤 이 안 돼,그건 습관 이에요 ,0
감히 나를 무시 하는 애가 있어,콕 집어서 물어보세요 ,0
갑자기 나쁜 생각 이 막 들더라,좋은 생각 만 하세요 ,0
갑자기 눈물 나,마음 이 아픈가요 ,0
갑자기 물어봐서 당황 했어,갑작스러웠나 봐요 ,0
갑자기 불편한 사이 가 된 거 같아,관계 의 변화 가 왔나 봅니다 ,0
강렬한 첫인상 남겨야 하는데,처음 3초 가 중요해요  당신 의 매력 을 어필 해보세요 ,0
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요 ,0
강아지 키우고 싶은데 역시 안 돼겠지,먼저 생활 패턴 을 살펴 보세요 ,0
강아지 키울 수 있을까,먼저 생활 패턴 을 살펴 보세요 ,0
강아지 키울까,책임질 수 있을 때 키워 보세요 ,0
강원도 가서 살까 ?,아름다운 곳 이 죠 ,0
같이 게임 하자고 해도 되나 ?,안 될 것 도 없죠 ,0
같이 놀러 갈 친구 가 없어,혼자 도 좋아요 ,0
같이 먹었는데 나 만 살찐 거 같아,연인 은 살쪄도 잘 알아차리지 못 하고 알아차려도 싫어하지 않을 거 예요 ,0
같이 수영장 가기 로 했어,즐거운 시간 보내고 오세요 !,0
같이 있으면 힘든데 붙잡고 싶어,질질 끌 지 마세요 ,0
같이 피 씨방 가자고 해볼까 ?,말 해보세요 ,0
같이 할 수 있는 취미 생활 뭐 있을까,함께 하면 서로 를 더 많이 알 게 될 거 예요 ,0
개강 룩 입어볼까,개시 해보세요 ,0
개강 옷 예쁘게 입어 볼까,개시 해보세요 ,0
개강 이다,곧 방학 이 예요 ,0
개강 이라니,방학 이 참 짧죠 ,0
개 같은 상황,벗어나는 게 좋겠네요 ,0
개 같이 되 버렸어 ,벗어나는 게 좋겠네요 ,0
개 기름 꼈어,세수 하고 오세요 ,0
개념 도 놓고 옴,그게 제일 중요한 건데 요 ,0
개념 이 없어,그게 제일 중요한 건데 요 ,0
개 당황,다음 부터는 더 많이 아세요 ,0
개 당황 했잖아 갑자기 물어 봐서,갑작스러웠나 봐요 ,0
개인 적 인 업무 까지 다 시켜,공적 인 일 부터 하세요 ,0
개인 적 인 일도 다 시켜,공적 인 일 부터 하세요 ,0
개 졸려,낮잠 을 잠깐 자도 괜찮아요 ,0
개 좋아,저 도 좋아해주세요 ,0
개학 하 니까 좋다,친구 들 이 보고싶었나 봐요 ,0
걔 너무 싫다,되도록 만나지 마세요 ,0
걔 는 누굴 닮아서 그런거니 ?,당신 이 요 ,0
걔 랑 같은 반 됐으면 좋겠다,당신 의 운 을 믿어 보세요 ,0
거지 같이 일해 놓고 갔어,일 못 하는 사람 이 있으면 옆 에 있는 사람 이 더 힘들죠 ,0
거지 됐어,밥 사줄 친구 를 찾아 보세요 ,0
거짓말 했어,선의 의 거짓말 이길 바라요 ,0
거짓말 을 나도 모르게 자꾸 해,거짓말 은 할수록 늘어요 ,0
거짓말 을 하게 돼,거짓말 은 할수록 늘어요 ,0
거짓말 이 거짓말 을 낳아,진실된 말 을 하려고 노력 해보세요 ,0
걱정 없이 살 고파,누구 나 걱정 은 있어요 ,0
걱정 좀 없이 살 고 싶다 ,누구 나 걱정 은 있어요 ,0
건강 관리,운동 을 해보세요 ,0
건강 빨리 회복해야지,세상 의 무엇 보다 건강 이 제일 중요해요 ,0
건강검진 왔어,주 기적 으로 해주는 게 좋죠 ,0
건강검진 하러 옴,주 기적 으로 해주는 게 좋죠 ,0
건강 이 최고,가장 중요한 목표 네 요 ,0
건강 이 최고 인 것 같아,가장 중요한 목표 네 요 ,0
건강하게 다이어트 하는 방법,적게 먹고 많이 움직이세요 ,0
건강한 다이어트 법,적게 먹고 많이 움직이세요 ,0
건너 건너 아는 사람 인데 연락 해도 될까 ?,모르는 사이 라 당황 할 수도 있어요 ,0
건물 주 되고싶어,이룰 수 있을 거 예요 ,0
건물 주가 짱 인데,이룰 수 있을 거 예요 ,0
건방져,기분 이 나쁘셨나 봐요 ,0
건조기 살까봐,있으면 편하 대요 ,0
건조하네,눈 을 깜빡 거려 보세요 ,0
걸레질 도 해야 돼,청소 를 좋아하시나 봐요 ,0
걸어 가고 있는데 깜깜 해서 무서워,안전 귀가 하세요 ,0
겁난다,용기 내 보세요 ,0
게으른 동료 가 있어,피해 를 안 준다면 무시 하세요 ,0
게임 같이 하자 고 할까 ?,안 될 것 도 없죠 ,0
게임 때문 에 시간 다 갔어,게임 할 때 는 시간 이 더 빨리 가요 ,0
게임 때문 에 폰 이 점점 느려지는듯,정리 해보세요 ,0
게임 재미있어 ,게임 하세요 !,0
게임 지겨워,다른 게임 해보세요 ,0
게임 도 이제 재미없어,다른 게임 해보세요 ,0
게임 하고 싶어,게임 하세요 !,0
게임 하다 시간 다 갔어,게임 할 때 는 시간 이 더 빨리 가요 ,0
겨울 지나 봄 이야,마음 에도 봄 이 오길 바라요 ,0
겨울 에는 온천 이지 !,몸 은 뜨겁고 머리 는 차갑게 !,0
겨울 이 가고 봄 이 올거야,마음 에도 봄 이 오길 바라요 ,0
격려 좀 해줘,잘 하실 거 예요 !,0
격려 가 필요해 ,잘 하실 거 예요 !,0
견과류 챙겨 먹어야지 ,건강 생각 해서 챙겨 드세요 ,0
결국 이런 운명 이라니 슬프다,좋은 운명 도 있을거예요 ,0
결정 못 하겠어 ,결정 하기 힘드시겠네요 ,0
결정 은 빠르면 빠를 수록 좋겠지 ?,자신 을 위 한 결정 을 내리길 바라요 ,0
결정 은 빠를수록 좋겠지 ?,자신 을 위 한 결정 을 내리길 바라요 ,0
결정 을 못 내리겠어  어떻해,결정 은 빠르면 빠를수록 좋을 거 예요 ,0
결정 적 인 물증 이 없어,안타깝네요  증거 를 지금 이라도 모아 봐요 ,0
결혼 했는데 ,좋겠어요 ,0
결혼 했어,좋겠어요 ,0
결혼 도 다 돈 이다 ,많이 들지만 줄일 수 있을 거 예요 ,0
결혼식 가기 귀찮아,경조사 는 참석 하는게 좋아요 ,0
결혼식 또 가야 돼,경조사 는 참석 하는게 좋아요 ,0
결혼식 때 하객 이 없을 까봐 걱정 돼,생각 보다 신경 안 씁니다 ,0
결혼식 이 너무 많아,인맥 이 넓으신 가봐요 ,0
결혼 이나 하지 왜 자꾸 나 한테 화 내냐구 !,힘들겠네요 ,0
결혼 준비 돈 많이 들겠지,많이 들지만 줄일 수 있을 거 예요 ,0
결혼 준비 하는데 돈 얼마나 드 나,욕심 에 따라 천지 차이 일 거 예요 ,0
결혼 하는데 돈 많이 드 네,허례 허식 이에요 ,0
결혼 하는데 돈 얼마나 들까,욕심 에 따라 천지 차이 일 거 예요 ,0
결혼 하면 좋아 ?,해봐요 ,0
결혼 하면 좋을까,서로 노력 하면 행복할 거 예요 ,0
결혼 하면 행복할까 ?,서로 노력 하면 행복할 거 예요 ,0
결혼 하면 행복해 ?,사람 마다 행복 의 크기 가 다르겠지만 행복할 거 예요 ,0
결혼 하면 행복해질 까 ?,사람 마다 행복 의 크기 가 다르겠지만 행복할 거 예요 ,0
결혼 할까,능력 이 있으면 하면 되죠 ,0
결혼 해도 되나,능력 이 있으면 하면 되죠 ,0
결혼 해도 될까,이 사람 이다 싶은 사람 이랑 하세요 ,0
결혼 해야 하나,해봐요 ,0
경쟁 이 너무 치열해,점점 치열해지는 것 같아요 ,0
계속 공부 해도 될까,확신 이 없나 봐요 ,0
계속 도전 하는 거 귀찮아,안정 적 인 걸 좋아하나 봐요 ,0
계속 방학 이면 좋을텐데,방학 은 참 짧아요 ,0
계속 보고 싶어,보러 가세 요 ,0
계속 보고 싶으면 어떡해 ?,보러 가세 요 ,0
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원 에 가보세요 ,0
계속 엇갈리는 느낌,타이밍 이 안 맞았나 봐요 ,0
계속 학생 하고 싶어,이제 취업 하셔야죠 ,0
계속 한숨 만 나와,뇌 세포 에 에너지 를 공급 하려는 자연스러운 현상 이에요  에너지 가 부족한 가봐요 ,0
고 3 은 공부 만 해야겠지 ,공부 가 최 우선 이 죠 ,0
고 3 이니까 공부 해야겠지,공부 가 최 우선 이 죠 ,0
고구마 다이어트 해야지,너무 무리하지는 마세요 ,0
고구마 만 먹고 다이어트 해야지,너무 무리하지는 마세요 ,0
고기 구워 먹고 싶다 ,저기압 에는 고 기 앞 이 죠 ,0
고기 먹고 싶어,저기압 에는 고 기 앞 이 죠 ,0
고데기 망했어,연습 이 필요해요 ,0
고데기 했는데 망했어,연습 이 필요해요 ,0
고독 한 밤,혼자 가 아니에요 ,0
고마운 사람 들 이 많아,인복 이 많나 봐요 ,0
고무신 거꾸로 신으면 어쩌지,너무 걱정 하지 마세요 ,0
고민 있어,네 말씀 하세요 ,0
고민 좀 들어줄래,네 말씀 하세요 ,0
고백 하고 후회 하면 어떡하지,후회 는 후회 를 낳을 뿐 이에요  용기 내세 요 ,0
고시원 너무 답답해,돈 을 모아서 다른 곳 으로 이사 갈 수 있을 거 예요 ,0
고시원 답답해,돈 을 모아서 다른 곳 으로 이사 갈 수 있을 거 예요 ,0
고시원 에서 나가고 싶어,더 좋은 곳 에서 살 수 있을 거 예요 ,0
고시원 에서 탈출 하고 싶어,더 좋은 곳 에서 살 수 있을 거 예요 ,0
고양이 동영상 보는 중,완전 귀엽죠 ?,0
고양이 키우고 싶어,자신 을 먼저 키우세요 ,0
고양이 키우고 싶어,가족 들 과 상의 해보세요 ,0
고의 는 아닌데 실수 를 한 거 같아,용서 를 구 하세요 ,0
고집 센 사람,피 할 수 있으면 피 하세요 ,0
고집 하고는,피 할 수 있으면 피 하세요 ,0
골프 못 치는데,처음 부터 잘 하는 사람 은 없어요 ,0
골프 배워야 돼,시간 내서 가보세요 ,0
골프 어려워,처음 부터 잘 하는 사람 은 없어요 ,0
골프 치러 가야 돼,시간 내서 가보세요 ,0
곱창 먹고 싶어 ,미리 미리 충전 해주세요 ,0
곱창 생각나,미리 미리 충전 해주세요 ,0
공무원 괜찮겠지,안정 적 이고 좋죠 ,0
공무원 되고 싶다,준비 해보세요 ,0
공무원 되면 좋겠다,준비 해보세요 ,0
공무원 시험 공부 힘들다,합격 기원 해요 !,0
공무원 시험 죽 을 거 같아,철밥통 되 기 가 어디 쉽겠어요 ,0
공무원 시험 힘들어 ㅠㅠ,철밥통 되 기 가 어디 쉽겠어요 ,0
공무원 준비 할까,시작 이 반 이에요  어서 준비 하세요 ,0
공무원 이 좋지 ?,안정 적 이고 좋죠 ,0
공복 이라 신경 이 예민해져,자연스러운 현상 이에요 ,0
공복 이라 예민해,자연스러운 현상 이에요 ,0
공복 이 면 예민함 ?,보이는 게 없죠 ,0
공부 계속 해도 될까,지금 처럼 잘 될 거 예요 ,0
공부 꼭 해야 할까,미래 의 배우자 가 달라져요 ,0
공부 때려 치워야 하나,확신 이 없나 봐요 ,0
공부 시작 해도 될까,공부 는 언제나 좋죠 ,0
공부 왜 해야 돼 ?,공부 하면 더 많은 선택 을 할 수 있죠 ,0
공부 잘 안 돼,같이 수다 떨면서 놀까 요 ?,0
공부 잘 하고 싶어,나 만의 공부 방법 을 찾아보세요 ,0
공부 좀 더 할 걸,지금 도 늦지 않았어요 ,0
공부 하기 싫다,같이 수다 떨면서 놀까 요 ?,0
공부 는 내 체질 이 아닌 것 같아,확신 이 없나 봐요 ,0
공부 로 먹고 살 수 있을까,지금 처럼 잘 될 거 예요 ,0
공부 방법 이 잘 못 된 걸까 ?,나 한테 맞는 공부 방법 찾는 게 시급하네요 ,0
공부 하기 싫어,잠시 쉬어도 돼요 ,0
공부 하기 싫은 날,잠시 쉬어도 돼요 ,0
공부 하는 낙 이 없어,공부 하면 더 많은 선택 을 할 수 있죠 ,0
공부 하는 이유 ?,공부 하면 더 많은 선택 을 할 수 있죠 ,0
공부 하는 이유 가 없어,공부 하면 더 많은 선택 을 할 수 있죠 ,0
공시 준비 힘들어,합격 기원 해요 !,0
공시 준비 힘들어,잘 될 거 예요 ,0
공시 준비 중,좋은 결과 있을 거 예요 !,0
공시 준비 하는데 힘들다,잘 될 거 예요 ,0
공시생 이야,좋은 결과 있을 거 예요 !,0
공연 보고 싶어,친구 와 같이 가보세요 ,0
공연 보러 가고 싶어,친구 와 같이 가보세요 ,0
공책 필기 나 만 힘들어 ?,성향 차이 가 좀 있기는 하죠 ,0
공황장애 생겼어 ,꾸준히 약 먹고 치료 해보세요 ,0
공황장애 있어,꾸준히 약 먹고 치료 해보세요 ,0
공휴일 에는 집 이 최고,피로 풀 고 좋죠 ,0
공휴일 에는 집콕,피로 풀 고 좋죠 ,0
과거 는 잊고 앞 으로 나아 가야 지,오늘이 중요하죠 ,0
과거 는 중요하지 않아,오늘이 중요하죠 ,0
과식 해서 소화 가 안 돼,소 화제 챙겨 드세요 ,0
과식 했나 봐,과식 은 금물 이에요 ,0
과식 했다,소 화제 드세요 ,0
과외 비 부담 되겠지 ?,안된다고 하면 거짓말 이겠지요 ,0
과외 비 비싸 ?,안된다고 하면 거짓말 이겠지요 ,0
과일 먹고 자야지,제철 과일 이 정말 좋아요 ,0
과일 먹어야지 ,건강 생각 해서 챙겨 드세요 ,0
과일 안 먹게 돼,그래도 먹으려고 노력 해보세요 ,0
과일 잘 안 먹게 돼,그래도 먹으려고 노력 해보세요 ,0
과일 챙겨 먹어야지,제철 과일 이 정말 좋아요 ,0
관계 가 계속 애매하다 ,인간 관계도 정리 가 필요해요 ,0
관심 끄라고 하고 싶다 ,무관심 이 필요할 때 가 있죠 ,0
관심 좀 안 가졌으면,무관심 이 필요할 때 가 있죠 ,0
관절염 같 애,계단 조심하세요 ,0
관절염 인가,계단 조심하세요 ,0
광고 가 안 끝나,채널 을 돌려 보세요 ,0
괜찮아지고 있어,괜찮아지고 있어 다행 이에요 ,0
괜찮은 사람 인데 사귀긴 싫어,남자 사람 친구  여자 사람 친구 하세요 ,0
괜히 건 들 지 말 라고,많이 지쳤나 봐요 ,0
괜히 기다렸어,누군가 를 기다린다는게 쉬운게 아니죠 ,0
괜히 농담 해서 망했다,늦지 않았어요 ,0
괜히 아까운 시간 버렸다,그 것 도 다 경험 이라고 생각 하세요 ,0
괜히 창피해,그럴 필요 없어요 ,0
괴물 이 되어 가는 느낌 이 들어,그렇지 않아요 ,0
교보 문고 왔어,마음 에 드는 책 을 잘 찾아보세요 ,0
교양 수업 재밌어,저 도 듣고 싶어요 ,0
교양 수업 시간 에 마음 에 드는 애 있어,같은 조가 되길 바랄게요 ,0
교양 수업 은근 재미 져,지식 쌓는 재미 가 있죠 ,0
교양 수업 에서 마음 에 드는 애 있어,같은 조가 되길 바랄게요 ,0
교양 수업 이 재미있어,지식 쌓는 재미 가 있죠 ,0
교양 이 전공 보다 재미있어,저 도 듣고 싶어요 ,0
교직이수 가능할까,학점 관리 하세요 ,0
교통사고 났었어 ,보험 처리 하세요 ,0
교통사고 당했어,보험 처리 하세요 ,0
교회 가기 싫어,왜 그럴까 요 ?,0
교회 갔다 만났어,좋은 만남이었길 바라요 ,0
교회 에서 만났어,좋은 만남이었길 바라요 ,0
구박 하면서 엄청 일 시켜,일 을 몰라서 그런 가봐요 ,0
군대 갔다 올 때 까지 기다릴 수 있을까,자신 의 삶 을 살다보면 기다릴 수 있을 거 예요 ,0
군대 기다려 주 려고,부담스러워하지 않는다면 기다려도 좋을 것 같아요 ,0
군대 기다려도 될까,부담스러워하지 않는다면 기다려도 좋을 것 같아요 ,0
군대 기다리면 부담스러워 할까,너무 걱정 하지 마세요 ,0
군대 기다릴 수 있을까,자신 의 삶 을 살다보면 기다릴 수 있을 거 예요 ,0
군대 언제 끝나나,군대 시계 는 멈추지 않아요 ,0
군대 전역 기다려,군대 시계 는 멈추지 않아요 ,0
굿모닝,좋은 아침 이에요 ,0
궁금하면 오백원,안 궁금해요 ,0
궁금하지 ?,안 궁금해요 ,0
궁금해,자세히 말씀 해주세요 ,0
궁금해 알려줘,자세히 말씀 해주세요 ,0
귀 아파,병원 에 가세 요 ,0
귀가 가려워,누가 욕 하고 있나 봐요 ,0
귀가 간지러,누가 욕 하고 있나 봐요 ,0
귀가 윙 윙거 려,병원 에 가세 요 ,0
귀농 어때 ?,생각 하기는 쉬운데 실천 하기는 어려운 것 같아요 ,0
그 사람 이 나 안 좋아하는 거 같아,슬픈 이야기 네 요 ,0
그 사람 이 나 좋아해 줬으면 좋겠다,저 도 간절히 기도 할게요 ,0
그 사람 이 행복했으면 좋겠다,그렇게 될 수 있을 거 예요 ,0
그 시절 엔 다 그랬지,추억 에 잠길 때 도 필요해요 ,0
그냥 고백 할 걸,후회 는 후회 를 낳을 뿐 이에요  용기 내세 요 ,0
그냥 공무원 이 좋을 듯,시작 이 반 이에요  어서 준비 하세요 ,0
그냥 내버려 둬 주었으면,아무 도 없는 곳 으로 여행 을 떠나 보세요 ,0
그냥 선 볼까 ?,많이 만나 보세요 ,0
그냥 쉬 고 싶다,잠깐 바람 쐬고 오세요 ,0
그냥 씹어야겠다 ,다른 사람 이 답답할 거 예요 ,0
그냥 이렇게 살 고 싶어,살 고 싶은대로 사세요 ,0
그냥 자는 거 아니지 ?,많이 피곤한 가봐요 ,0
그냥 잘 못 했다고 하면 될거 같은데 자꾸 변명 해,피 할 수 있으면 피 하세요 ,0
그냥 택시 타야지 ,조심 히 오세요 ,0
그냥 할까 ?,실천 이 말 보다 낫 죠 ,0
그냥 혼자 밥 이나 먹어야지,밥심 으로 사는 거 죠 ,0
그냥 혼자 있는게 좋아,혼자 만 있지 마세요 ,0
그동안 잘 지냈나요 ?,안부 를 물어주시다니 감사합니다 ,0
그땐 그랬지,추억 에 잠길 때 도 필요해요 ,0
그래 그러자,괜찮은 선택 이길 바라요 ,0
그래 이제 결정 했어,좋은 결과 있을 거 예요 ,0
그래도 좀 기대했는데,기쁜 마음 으로 베풀고 보답 을 바라지 마세요 ,0
그런 말 을 왜 하지,다른 사람 말 은 신경 쓰지 마세요 ,0
그런 사람인 가보다 해야하나 봐,대인 배시군요 ,0
그런 사람인 갑다 해야지,대인 배시군요 ,0
그런 친구 아니었는데 너무 귀찮게 하네,친구 가 좋아하나 봐요 ,0
그렇게 갈 거 면서,이야기 를 해보세요 ,0
그렇게 오래 살았는데도 이해 를 못 하겠어,온전 한 이해 는 없어요 ,0
그렇게 할래,괜찮은 선택 이길 바라요 ,0
그림 잘 그리고 싶다,학원 을 다니거나 연습 하면 잘 할 수 있을 거 예요 ,0
그림 좀 잘 그렸으면 좋겠다,학원 을 다니거나 연습 하면 잘 할 수 있을 거 예요 ,0
그만 두고 나오고 싶어,뒷 감당 자신 있으면 하세요 ,0
그만 먹어야 하는데,조금 만 드세요,0
그만 살고싶어,당신 을 소중하게 생각 하세요 ,0
그저 그런 하루,그런 하루 도 감사한 마음 을 가져 보세요 ,0
근사한 곳 알 아 냈어,좋은 사람과 함께 가세 요 ,0
근육 있으면 멋있을텐데,저 말씀 이신 가요 ?,0
금값 알 아 ?,비싸요 ,0
금값 어때,비싸요 ,0
금 사빠 인가,호의 인지 호감 인지 헷갈리나요 ?,0
금수 저 물 고 태어나면 좋겠지 ?,뭔가 안 풀리는 일이 있나 봐요 ,0
금수 저 로 태어났으면,아이 를 금수 저 로 만들어주세요 ,0
금수 저 로 태어났으면 좋았을텐데,아이 를 금수 저 로 만들어주세요 ,0
금연 이 쉽지 않아,자신 을 이겨 야해요 ,0
기 빨렸어,너무 긴장 했나 봐요 ,0
기념일 다 챙기는거 귀찮아,기념일 챙겨주면 좋아할거예요 ,0
기념일 또 까먹었어,달력 에 적어 보세요 ,0
기념일 못 챙겼어,달력 에 적어 보세요 ,0
기념일 챙기기 귀찮아,기념일 챙겨주면 좋아할거예요 ,0
기능 좀 알려줘 봐 봐,당신 의 삶 을 응원 해 드릴 수 있어 요 라고 감히 말 해 봅니다 ,0
기다리는 것 도 지쳐,기다리지 마세요 ,0
기다리라고 말 못 하겠어,상대방 의 선택 에 맡겨 보세요 ,0
기다림 이 습관 이 됐나 봐,좋은 분이시군요,0
기대 가 무너졌어,베풀되 보답 을 바라지 마세요 ,0
기대 가 부담스러운데 떨쳐 낼 수 있는 방법 있을까 ?,자신 을 사랑 할수록 외부 의 인정 은 필요 없어요 ,0
기대하고 있었는데,상대 에게 바라는 기대는 자신 을 슬프게 해 요 ,0
기대하지 말걸,베풀되 보답 을 바라지 마세요 ,0
기대했는데,기쁜 마음 으로 베풀고 보답 을 바라지 마세요 ,0
기댈 수 있는 사람,의지 할 수 있는 사람 이 곁 에 있다는 건 큰 행운 일 거 예요 ,0
기력 이 없어,자신 의 감정 을 주변 사람 들 에게 터 놓고 이야기 해보세요 ,0
기름값 올랐어 ,대중교통 을 이용 해주세요 ,0
기본 이 뭔 지도 모르는 것 같아 ,각자 가 생각 하는 기본 이 다를 수도 있어요 ,0
기본 이 안 되어 있어,각자 가 생각 하는 기본 이 다를 수도 있어요 ,0
기부 좀 했어요,좋은 일 하셨네요 ,0
기부 했어,좋은 일 하셨네요 ,0
기분 꿀꿀해,내일 은 오늘 보다 나을 거 예요 ,0
기분 나쁜 농담 을 계속 하고 있어,정색 한번 해주세요 ,0
기분 울적해서 좀 걷고 있어,걷다 보면 조금 정리 가 될 거 예요 ,0
기분 전환 하고 싶어,저 랑 함께 해 요 ,0
기분 전환 이 필요해,저 랑 함께 해 요 ,0
기분 이 그 지 같아,신나는 음악 들어 보세요 ,0
기분 이 더러워,경쾌한 음악 들어 보세요 ,0
기분 이 묘 해,왜 일까 요 ?,0
기분 이 이상해,무슨 이유 인지 생각 해보세요 ,0
기숙사 괜찮을까,혼자 사는 것 보다 불편하겠죠 ,0
기숙사 떨어졌어,다음 학기 에는 학점 관리 를 더 열심히 해봐요 ,0
기숙사 사는거 어떨까 ?,혼자 사는 것 보다 불편하겠죠 ,0
기숙사 살 면 불편해 ?,혼자 사는 것 보다 불편하겠죠 ,0
기숙사 안 됐어,다음 학기 에는 학점 관리 를 더 열심히 해봐요 ,0
기술 배울까,기술 을 많이 알 면 도움 이 되겠죠 ,0
기차 타고 여행 가고 싶어,꿈꾸던 여행 이네 요 ,0
기차 여행 가고 싶어,꿈꾸던 여행 이네 요 ,0
기침 도 못 하겠어,답답한 상황 이네 요 ,0
기침 도 편하게 못 해,답답한 상황 이네 요 ,0
기프트 콘 받았어 !,좋겠어요 !,0
기프트 콘 선물 괜찮을까 ?,직접 주는 게 더 좋을 것 같아요 ,0
기프트 콘 선물 해볼까 ?,직접 주는 게 더 좋을 것 같아요 ,0
기프트 콘 주면 좋아할까 ?,직접 주는 게 더 좋을 것 같아요 ,0
기프트 콘 으로 선물 받았어,좋겠네요 ,0
기프트 콘 으로 선물 해야겠다,직접 주는 게 더 좋을 것 같아요 ,0
기회 를 놓쳤어,더 좋은 기회 가 올 거 예요 ,0
기회 를 못 잡았어,더 좋은 기회 가 올 거 예요 ,0
기획사 니까 당연히 예쁜 애 들 많겠지,연예인 을 준비 하니 일반인 보다 다 예쁘겠죠 ,0
기획사 에 예쁜 애 들 많겠지,연예인 을 준비 하니 일반인 보다 다 예쁘겠죠 ,0
긴 머리 관리 어렵다 ,그래서 저 는 못 기르고 잘라요 ,0
긴 머리 관리 하는 거 힘들다,그래서 저 는 못 기르고 잘라요 ,0
긴 시간 이 걸렸지만 괜찮아 ,괜찮아지고 있어 다행 이에요 ,0
긴장 푸는 법 알려줘,크게 숨 한 번 쉬어 보세요,0
